timestamp,angle,curLapTime,damage,distFromStart,distRaced,fuel,gear,lastLapTime,racePos,rpm,speedX,speedY,speedZ,trackPos,z
1743096927.734803,0.00969284,-0.222,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.7549875,0.00969284,-0.202,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.7790318,0.00969284,-0.182,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.795591,0.00969284,-0.162,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.8141973,0.00969284,-0.142,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.8332791,0.00969284,-0.122,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.860427,0.00969284,-0.102,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.8811154,0.00969284,-0.082,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.8999088,0.00969284,-0.062,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.9280717,0.00969284,-0.042,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.937642,0.00969284,-0.022,0,2032.56,0,94,0,0,1,942.478,-0.000612781,0.00284858,-0.000184746,0.333666,0.345609
1743096927.9823997,0.00927513,0.018,0,2032.56,0,94,0,0,1,942.478,-0.00150305,0.0151331,-0.000179662,0.333675,0.345608
1743096927.998494,0.00920122,0.038,0,2032.56,0,94,1,0,1,942.478,-0.00301934,0.0248869,-0.000192152,0.333688,0.345607
1743096928.0140524,0.00898569,0.058,0,2032.56,0,94,1,0,1,942.478,-0.0039886,0.0341531,-0.000249193,0.333712,0.345603
1743096928.03819,0.00899714,0.078,0,2032.56,0,94,1,0,1,942.478,-0.00547437,0.0408867,-0.00022094,0.333741,0.345599
1743096928.057777,0.00881499,0.098,0,2032.56,0,94,1,0,1,942.478,-0.00605529,0.0447107,-0.00027289,0.333774,0.345594
1743096928.078873,0.00884407,0.118,0,2032.56,0,94,1,0,1,942.478,-0.00689768,0.0472187,-0.000277832,0.333809,0.345588
1743096928.0964875,0.00867194,0.138,0,2032.56,-0.00012207,94,1,0,1,942.478,-0.00738946,0.0483097,-0.000318368,0.333846,0.345583
1743096928.1150575,0.00870579,0.158,0,2032.56,-0.00012207,94,1,0,1,942.478,-0.0081047,0.0493189,-0.000318178,0.333883,0.345578
1743096928.1379547,0.00853699,0.178,0,2032.56,-0.00012207,94,1,0,1,942.478,-0.00838113,0.0495622,-0.00041666,0.333921,0.345572
1743096928.1562645,0.00857323,0.198,0,2032.56,-0.00012207,94,1,0,1,942.478,-0.00864821,0.0499968,-0.000454463,0.333958,0.345567
1743096928.1748188,0.00840586,0.218,0,2032.56,-0.00012207,94,1,0,1,942.478,-0.00892593,0.0499358,-0.00049992,0.333997,0.345561
1743096928.1970105,0.00844258,0.238,0,2032.56,-0.000244141,94,1,0,1,942.478,-0.0092888,0.0503031,-0.000548542,0.334035,0.345556
1743096928.2161393,0.00832051,0.26,0,2032.56,-0.000244141,94,1,0,1,942.478,-0.00937838,0.0490763,-0.000600736,0.334077,0.345549
1743096928.2404318,0.0082547,0.28,0,2032.56,-0.000244141,94,1,0,1,942.478,-0.00929501,0.0516386,-0.000638849,0.334117,0.345543
1743096928.2604337,0.00819367,0.3,0,2032.56,-0.000244141,94,1,0,1,942.478,-0.00954335,0.0490471,-0.000623214,0.334155,0.345537
